query_id,category,model_key,provider,configured_model,actual_model,status_code,generation_latency,answer_length,correctness,grounding,completeness,relevance,refusal_correct,scope_correct
factual_001,factual,OLLAMA_BASELINE,ollama,qwen2.5:1.5b,qwen2.5:1.5b,200,4.4009,287,5.0,5.0,5.0,5.0,True,True
factual_001,factual,OPENROUTER_MODEL_A,openrouter,nvidia/nemotron-3.5-lightning:free,nvidia/nemotron-3.5-lightning:free,429,0.3354,0,3.67,5.0,3.0,3.0,True,True
factual_001,factual,OPENROUTER_MODEL_B,openrouter,poolside/laguna-s-2.1:free,poolside/laguna-s-2.1:free,429,0.2978,0,3.67,5.0,3.0,3.0,True,True
factual_001,factual,OPENROUTER_MODEL_C,openrouter,nvidia/nemotron-nano-9b-v2:free,nvidia/nemotron-nano-9b-v2:free,429,0.2738,0,3.67,5.0,3.0,3.0,True,True
concept_001,conceptual,OLLAMA_BASELINE,ollama,qwen2.5:1.5b,qwen2.5:1.5b,200,3.2317,736,5.0,5.0,5.0,5.0,True,True
concept_001,conceptual,OPENROUTER_MODEL_A,openrouter,nvidia/nemotron-3.5-lightning:free,nvidia/nemotron-3.5-lightning:free,429,0.5524,0,3.67,5.0,3.0,3.0,True,True
concept_001,conceptual,OPENROUTER_MODEL_B,openrouter,poolside/laguna-s-2.1:free,poolside/laguna-s-2.1:free,429,0.3526,0,3.67,5.0,3.0,3.0,True,True
concept_001,conceptual,OPENROUTER_MODEL_C,openrouter,nvidia/nemotron-nano-9b-v2:free,nvidia/nemotron-nano-9b-v2:free,429,0.3661,0,3.67,5.0,3.0,3.0,True,True
multihop_001,multi_hop,OLLAMA_BASELINE,ollama,qwen2.5:1.5b,qwen2.5:1.5b,200,3.3439,802,5.0,5.0,5.0,5.0,True,True
multihop_001,multi_hop,OPENROUTER_MODEL_A,openrouter,nvidia/nemotron-3.5-lightning:free,nvidia/nemotron-3.5-lightning:free,429,0.4966,0,3.67,5.0,3.0,3.0,True,True
multihop_001,multi_hop,OPENROUTER_MODEL_B,openrouter,poolside/laguna-s-2.1:free,poolside/laguna-s-2.1:free,429,0.2974,0,3.67,5.0,3.0,3.0,True,True
multihop_001,multi_hop,OPENROUTER_MODEL_C,openrouter,nvidia/nemotron-nano-9b-v2:free,nvidia/nemotron-nano-9b-v2:free,429,0.3624,0,3.67,5.0,3.0,3.0,True,True
doc_003,document_specific,OLLAMA_BASELINE,ollama,qwen2.5:1.5b,qwen2.5:1.5b,200,2.4707,49,1.0,5.0,0.0,1.0,False,True
doc_003,document_specific,OPENROUTER_MODEL_A,openrouter,nvidia/nemotron-3.5-lightning:free,nvidia/nemotron-3.5-lightning:free,429,0.2805,0,3.67,5.0,3.0,3.0,True,True
doc_003,document_specific,OPENROUTER_MODEL_B,openrouter,poolside/laguna-s-2.1:free,poolside/laguna-s-2.1:free,429,0.3749,0,3.67,5.0,3.0,3.0,True,True
doc_003,document_specific,OPENROUTER_MODEL_C,openrouter,nvidia/nemotron-nano-9b-v2:free,nvidia/nemotron-nano-9b-v2:free,429,0.2988,0,3.67,5.0,3.0,3.0,True,True
compare_001,comparison,OLLAMA_BASELINE,ollama,qwen2.5:1.5b,qwen2.5:1.5b,200,2.9176,427,5.0,5.0,5.0,5.0,True,True
compare_001,comparison,OPENROUTER_MODEL_A,openrouter,nvidia/nemotron-3.5-lightning:free,nvidia/nemotron-3.5-lightning:free,429,0.2938,0,3.67,5.0,3.0,3.0,True,True
compare_001,comparison,OPENROUTER_MODEL_B,openrouter,poolside/laguna-s-2.1:free,poolside/laguna-s-2.1:free,429,0.3417,0,3.67,5.0,3.0,3.0,True,True
compare_001,comparison,OPENROUTER_MODEL_C,openrouter,nvidia/nemotron-nano-9b-v2:free,nvidia/nemotron-nano-9b-v2:free,429,0.5398,0,3.67,5.0,3.0,3.0,True,True
missing_002,missing_information,OLLAMA_BASELINE,ollama,qwen2.5:1.5b,qwen2.5:1.5b,200,2.4987,49,5.0,5.0,5.0,5.0,True,True
missing_002,missing_information,OPENROUTER_MODEL_A,openrouter,nvidia/nemotron-3.5-lightning:free,nvidia/nemotron-3.5-lightning:free,429,0.3105,0,3.67,5.0,3.0,3.0,False,True
missing_002,missing_information,OPENROUTER_MODEL_B,openrouter,poolside/laguna-s-2.1:free,poolside/laguna-s-2.1:free,429,0.3121,0,3.67,5.0,3.0,3.0,False,True
missing_002,missing_information,OPENROUTER_MODEL_C,openrouter,nvidia/nemotron-nano-9b-v2:free,nvidia/nemotron-nano-9b-v2:free,429,0.344,0,3.67,5.0,3.0,3.0,False,True
multidoc_001,multi_document,OLLAMA_BASELINE,ollama,qwen2.5:1.5b,qwen2.5:1.5b,200,2.5261,49,1.0,5.0,0.0,1.0,False,True
multidoc_001,multi_document,OPENROUTER_MODEL_A,openrouter,nvidia/nemotron-3.5-lightning:free,nvidia/nemotron-3.5-lightning:free,429,0.3299,0,3.67,5.0,3.0,3.0,True,True
multidoc_001,multi_document,OPENROUTER_MODEL_B,openrouter,poolside/laguna-s-2.1:free,poolside/laguna-s-2.1:free,429,0.3747,0,3.67,5.0,3.0,3.0,True,True
multidoc_001,multi_document,OPENROUTER_MODEL_C,openrouter,nvidia/nemotron-nano-9b-v2:free,nvidia/nemotron-nano-9b-v2:free,429,0.3643,0,3.67,5.0,3.0,3.0,True,True
exam_001,exam_style,OLLAMA_BASELINE,ollama,qwen2.5:1.5b,qwen2.5:1.5b,200,2.3357,32,4.33,5.0,3.0,5.0,True,True
exam_001,exam_style,OPENROUTER_MODEL_A,openrouter,nvidia/nemotron-3.5-lightning:free,nvidia/nemotron-3.5-lightning:free,429,0.2893,0,1.67,5.0,3.0,3.0,True,True
exam_001,exam_style,OPENROUTER_MODEL_B,openrouter,poolside/laguna-s-2.1:free,poolside/laguna-s-2.1:free,429,0.3205,0,1.67,5.0,3.0,3.0,True,True
exam_001,exam_style,OPENROUTER_MODEL_C,openrouter,nvidia/nemotron-nano-9b-v2:free,nvidia/nemotron-nano-9b-v2:free,429,0.3056,0,1.67,5.0,3.0,3.0,True,True
